truncating existing tables...
writing ground truth to data\ground_truth.json...
loading 500 titles...
loading 20000 subscribers...
loading 3 change_log rows...
generating and loading playback_events (days=56, sessions_per_day=100000)...
playback_events: batch 1 done, 50000 rows so far, 0.5s elapsed
playback_events: batch 2 done, 100000 rows so far, 1.0s elapsed
playback_events: batch 3 done, 150000 rows so far, 1.4s elapsed
playback_events: batch 4 done, 200000 rows so far, 1.9s elapsed
playback_events: batch 5 done, 250000 rows so far, 2.4s elapsed
playback_events: batch 6 done, 300000 rows so far, 2.9s elapsed
playback_events: batch 7 done, 350000 rows so far, 3.4s elapsed
playback_events: batch 8 done, 400000 rows so far, 3.9s elapsed
playback_events: batch 9 done, 450000 rows so far, 4.5s elapsed
playback_events: batch 10 done, 500000 rows so far, 5.1s elapsed
playback_events: batch 11 done, 550000 rows so far, 5.6s elapsed
playback_events: batch 12 done, 600000 rows so far, 6.1s elapsed
playback_events: batch 13 done, 650000 rows so far, 6.5s elapsed
playback_events: batch 14 done, 700000 rows so far, 7.0s elapsed
playback_events: batch 15 done, 750000 rows so far, 7.3s elapsed
playback_events: batch 16 done, 800000 rows so far, 7.8s elapsed
playback_events: batch 17 done, 850000 rows so far, 8.3s elapsed
playback_events: batch 18 done, 900000 rows so far, 8.8s elapsed
playback_events: batch 19 done, 950000 rows so far, 9.3s elapsed
playback_events: batch 20 done, 1000000 rows so far, 9.7s elapsed
playback_events: batch 21 done, 1050000 rows so far, 10.2s elapsed
playback_events: batch 22 done, 1100000 rows so far, 10.6s elapsed
playback_events: batch 23 done, 1150000 rows so far, 11.0s elapsed
playback_events: batch 24 done, 1200000 rows so far, 11.5s elapsed
playback_events: batch 25 done, 1250000 rows so far, 12.0s elapsed
playback_events: batch 26 done, 1300000 rows so far, 12.4s elapsed
playback_events: batch 27 done, 1350000 rows so far, 12.9s elapsed
playback_events: batch 28 done, 1400000 rows so far, 13.5s elapsed
playback_events: batch 29 done, 1450000 rows so far, 14.0s elapsed
playback_events: batch 30 done, 1500000 rows so far, 14.5s elapsed
playback_events: batch 31 done, 1550000 rows so far, 15.1s elapsed
playback_events: batch 32 done, 1600000 rows so far, 15.5s elapsed
playback_events: batch 33 done, 1650000 rows so far, 15.9s elapsed
playback_events: batch 34 done, 1700000 rows so far, 16.3s elapsed
playback_events: batch 35 done, 1750000 rows so far, 16.7s elapsed
playback_events: batch 36 done, 1800000 rows so far, 17.1s elapsed
playback_events: batch 37 done, 1850000 rows so far, 17.5s elapsed
playback_events: batch 38 done, 1900000 rows so far, 18.0s elapsed
playback_events: batch 39 done, 1950000 rows so far, 18.4s elapsed
